sample,scope,spec,outcome,coef,se,t,p,sig,N,N_city,mean_y
y2020,inv_grant_familycited_appyear,province_year_fe,hhi,.0199621615709874,.009452221,2.1119018,.035549942,**,3763,291,.1123212749625708
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,hhi,.0042152386772379,.01085966,.38815567,.69818562,,3763,291,.1123212749625708
y2020,inv_grant_familycited_appyear,province_year_fe,top10_share,.0381431332934599,.013096403,2.9124892,.0038642387,***,3763,291,.6038102809944849
y2020,inv_grant_familycited_appyear,provyr_baseyr_fe,top10_share,-.0057903777048564,.013538792,-.42768794,.66919577,,3763,291,.6038102809944849
y2021,inv_grant_familycited_appyear,province_year_fe,new_applicant_share,.0459976932310385,.010719386,4.2910752,.00002425897,***,4054,291,.4456754442203564
y2021,inv_grant_familycited_appyear,provyr_baseyr_fe,new_applicant_share,.0153425505808432,.011386329,1.3474536,.17888598,,4054,291,.4456754442203564
y2021,inv_grant_familycited_appyear,province_year_fe,ln1p_new_applicants,.0392153125682581,.030458033,1.2875196,.19893982,,4054,291,3.597638925618811
y2021,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_new_applicants,.089979510178376,.040242441,2.2359357,.026116675,**,4054,291,3.597638925618811
y2021,inv_grant_familycited_appyear,province_year_fe,ln1p_new_patents,.0427556702645299,.035759524,1.1956443,.23281215,,4054,291,3.881321736163441
y2021,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_new_patents,.1145968502589537,.047077935,2.4341946,.015528495,**,4054,291,3.881321736163441
y2021,inv_grant_familycited_appyear,province_year_fe,ln1p_total_patents,.0495354762224672,.041883029,1.1827099,.23789284,,4054,291,4.817516348275765
y2021,inv_grant_familycited_appyear,provyr_baseyr_fe,ln1p_total_patents,.0996697064613504,.052997965,1.8806326,.061023895,*,4054,291,4.817516348275765
