block,variant,applicant_sample,event_term,outcome,coef,se,t,p,sig,N,N_city
event_ddd_scope_ge_2,g06_only,all,ev_p4,ln1p_city_new_patents_field,0.4116421455341524,0.09104594434835726,4.521257355068333,6.147339677567404e-06,***,4647,291
event_ddd_scope_ge_2,g06_only,all,ev_m4,city_new_share_total_field,-0.008779087441342665,0.035888389340593935,-0.24462194048403554,0.8067491740597807,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_m3,city_new_share_total_field,0.028174560256792425,0.03951312719303925,0.7130430380553564,0.47581912566798096,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_m2,city_new_share_total_field,0.008086913025576875,0.03822017431403119,0.21158754952637798,0.8324288234583774,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_0,city_new_share_total_field,0.053817515178078576,0.036583806709054596,1.4710747737675585,0.14127089630498407,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p1,city_new_share_total_field,0.003675694954160807,0.03827066282572126,0.0960447163117963,0.9234850582132339,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p2,city_new_share_total_field,0.007292002665765657,0.033975941433513845,0.21462253459657868,0.8300616232578799,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p3,city_new_share_total_field,0.040077826462222146,0.03957364182950958,1.0127404153220136,0.3111841679990532,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_p4,city_new_share_total_field,0.035213410617871574,0.031099907478511633,1.132267375464128,0.25752204169102266,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_m4,field_new_share_total_field,-0.0007498399111995364,0.04132668502259417,-0.018144206601366238,0.985523811978808,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_m3,field_new_share_total_field,0.007764959425754524,0.03356086959884059,0.2313694346591894,0.8170278085936282,,3877,291
event_ddd_scope_ge_2,g06_only,all,ev_m2,field_new_share_total_field,0.02545179909209598,0.03270895123022358,0.7781294763305685,0.4364926871587439,,3877,291
