block,variant,applicant_sample,city_sample,spec,outcome,coef,se,t,p,sig,N,N_city,mean_diff_y,policy_controls
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe,ln1p_city_new_patents_field,0.36918486205303974,0.05767179200785803,6.4014806753835,1.5387729222150765e-10,***,4453,291,-2.776877759069405,
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.1324485881913794,0.05664263059050252,2.338319862806434,0.019370661382057616,**,4453,291,-2.776877759069405,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe,city_new_share_total_field,0.009003621893070215,0.015543457281001559,0.5792547777691102,0.5624172743540197,,3668,291,-0.04539538566487415,
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe_policy_x_high,city_new_share_total_field,0.003837574401604647,0.018966515264543023,0.20233418464480957,0.8396554771219438,,3668,291,-0.04539538566487415,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe,field_new_share_total_field,0.047472110792355485,0.019791672019016233,2.3985902124258796,0.016458321831841313,**,3668,291,0.1279651359630614,
ddd_robustness,broad,no_individual_no_oneshot,min20,diff_city_year_fe_policy_x_high,field_new_share_total_field,0.0162763207996489,0.025056504057683022,0.6495846652102342,0.5159605411353825,,3668,291,0.1279651359630614,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe,ln1p_city_new_applicants_field,0.26147995563936377,0.04157861730393755,6.288808348963574,3.199121180760686e-10,***,4157,289,-2.249570048247929,
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe_policy_x_high,ln1p_city_new_applicants_field,0.11965778596266782,0.04295382848763648,2.7857304034519124,0.005340726986573115,***,4157,289,-2.249570048247929,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe,ln1p_city_new_patents_field,0.29063507295487,0.05610548916054411,5.180153979644074,2.2170281702731632e-07,***,4157,289,-2.850737069891358,
ddd_robustness,broad,no_individual_no_oneshot,min50,diff_city_year_fe_policy_x_high,ln1p_city_new_patents_field,0.09387348573943241,0.055318109467763395,1.6969756675096994,0.08970126090448477,*,4157,289,-2.850737069891358,"broadband_china_pilot,bigdata_comprehensive_pilot,innovative_city_pilot,ip_demo_city"
