block,variant,applicant_sample,spec,outcome,coef,se,z,p,sig,N,N_city,mean_y,converged
ppml_ddd,g06_only,no_oneshot,ppml_hdfe_policy_x_high,city_new_patents_field,-.1759821748054665,.075742178,-2.323437,.020155694,**,9210,290,333.70657,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe,field_new_applicants_field,-.210205724273208,.035530116,-5.9162688,3.2932665e-09,***,9210,290,98.080482,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe_policy_x_high,field_new_applicants_field,-.1369359308354286,.04032417,-3.3958771,.00068409042,***,9210,290,98.080482,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe,field_new_patents_field,-.2079107480210425,.064257182,-3.2356033,.0012138591,***,9210,290,347.42889,1
ppml_ddd,g06_only,no_oneshot,ppml_hdfe_policy_x_high,field_new_patents_field,-.192478384699045,.063969083,-3.0089281,.0026217112,***,9210,290,347.42889,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe,city_new_applicants_field,-.2004235003015907,.043714721,-4.5848055,4.5440902e-06,***,8974,286,67.848289,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe_policy_x_high,city_new_applicants_field,-.1289408679740778,.051821455,-2.4881754,.012840044,**,8974,286,67.848289,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe,city_new_patents_field,-.2142677616346322,.081696384,-2.6227324,.0087227728,***,8974,286,252.63449,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe_policy_x_high,city_new_patents_field,-.2401758466697389,.080393396,-2.9875071,.0028126279,***,8974,286,252.63449,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe,field_new_applicants_field,-.2415355474824126,.04004411,-6.0317369,1.6220663e-09,***,9098,290,73.548851,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe_policy_x_high,field_new_applicants_field,-.1761820666998657,.044684719,-3.9427812,.000080542151,***,9098,290,73.548851,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe,field_new_patents_field,-.2530966922181714,.0744932,-3.3975811,.00067984406,***,9098,290,265.20993,1
ppml_ddd,g06_only,no_individual_no_oneshot,ppml_hdfe_policy_x_high,field_new_patents_field,-.2559481162864075,.070503458,-3.6302917,.00028310105,***,9098,290,265.20993,1
