license_no,license_year,company,city,source,idc_scope_raw,registered_address
B1-20243117,2024,北京东方超算科技有限公司,北京,registered_fallback,,北京市海淀区安宁庄西三条9号1幢8层6单元808室
A2.B1-20161006,2016,久渠信息技术(上海)有限公司,上海,registered_fallback,,
B1-20180828,2018,上海云峥科技有限公司,上海,registered_fallback,,中国(上海)自由贸易试验区德堡路38号2幢三层313-02室
B1-20212610,2021,湖南融链科技有限公司,长沙,registered_fallback,,长沙高新开发区尖山路39号长沙中电软件园一期9栋7楼A7777室
B1-20222202,2022,上海云宿科技有限公司,上海,registered_fallback,,嘉定区兴贤路1388号3幢1371室
鲁B1-20150069,2015,山东欧赛网络科技有限公司,淄博,scope_city,淄博市,山东省淄博市博山区城西街道颜山电子商务创业园A座七层
滇B2-20180022,2018,云南建投物流有限公司,昆明,registered_fallback,,中国(云南)自由贸易试验区昆明片区经济技术开发区林溪路188号
川B1-20200407,2020,四川绿盾科技有限公司,成都,registered_fallback,,成都市武侯区高升桥路9号5栋12楼1204号
B1-20161651,2016,武汉宽路信息科技有限公司,兰州,scope_city,鄂州市;兰州市,武昌区中南路街丁字桥路27号(老87号)13栋8层6室
B1-20161651,2016,武汉宽路信息科技有限公司,鄂州,scope_city,鄂州市;兰州市,武昌区中南路街丁字桥路27号(老87号)13栋8层6室
A2.B1-20240164,2024,深圳市宝联数据科技有限公司,深圳,registered_fallback,,
B1.B2-20243140,2024,北京云慕科技有限公司,北京,registered_fallback,,
辽B2-20140026,2014,辽宁长宽网络服务有限公司,沈阳,registered_fallback,,辽宁省沈阳市大东区大东路161号17门
A2.B1-20223385,2022,浙江思极科技服务有限公司,杭州,registered_fallback,,浙江省杭州市上城区市民街219号利有商务大厦8层803室
B1-20223430,2022,北京亿极科技有限公司,北京,registered_fallback,,北京市延庆区八达岭镇招商服务办公楼244号（集群注册）
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,上海,scope_city,上海市;福州市,中国(上海)自由贸易试验区杨高南路729号第41层
B2-20173343,2017,兴业数字金融服务（上海）股份有限公司,福州,scope_city,上海市;福州市,中国(上海)自由贸易试验区杨高南路729号第41层
B1-20170489,2017,北京金航联科技发展有限公司,北京,registered_fallback,,北京市朝阳区酒仙桥中路18号18幢南楼408室
赣B1-20180012,2018,江西省昌谊得科技有限公司,南昌,registered_fallback,,江西省南昌市南昌县黄马乡黄马街信用社北
B1-20211009,2021,深圳市一土数据有限公司,深圳,registered_fallback,,深圳市南山区蛇口街道三湘海尚花园一期E座一单元6B
B1-20230536,2023,上海粤进浦科技有限公司,上海,registered_fallback,,中国(上海)自由贸易试验区临港新片区云端路1566弄7号3楼302-1室
A2.B1.B2-20224575,2022,柳州市天际通科技有限公司,柳州,registered_fallback,,柳州市柳东新区双仁路10号官塘研发中心2号楼705号(柳州高创商务秘书有限公司托管)
A2.B1-20225183,2022,上海硕曜科技有限公司,上海,registered_fallback,,上海市松江区茸华路629号8幢2层219室
粤B1.B2-20051038,2005,深圳市新生代投资发展有限公司,湛江,scope_city,湛江市,深圳市南山区南头街道大汪山社区桃园路8号田厦国际中心A座701
