year,city,applicant,patents,scope,applicant_type_rough,rank_city_year
2022,七台河,七台河宝泰隆石墨烯新材料有限公司,1,inv_app_appyear,firm,7
2022,七台河,七台河市奥科奇峰节能技术研究所,1,inv_app_appyear,research_institute,8
2022,七台河,七台河市康草堂饮片药业有限公司,1,inv_app_appyear,firm,9
2022,七台河,七台河市成程非晶合金开发有限责任公司,1,inv_app_appyear,firm,10
2022,七台河,七台河达不琉网络科技有限公司,1,inv_app_appyear,firm,11
2022,七台河,候海龙,1,inv_app_appyear,likely_individual,12
2022,七台河,吕子栋,1,inv_app_appyear,likely_individual,13
2022,七台河,周佐仕,1,inv_app_appyear,likely_individual,14
2022,七台河,宝泰隆新材料股份有限公司,1,inv_app_appyear,firm,15
2022,七台河,张大文,1,inv_app_appyear,likely_individual,16
2022,七台河,张娟,1,inv_app_appyear,likely_individual,17
2022,七台河,张川,1,inv_app_appyear,likely_individual,18
2022,七台河,张泉林,1,inv_app_appyear,likely_individual,19
2022,七台河,张铁刚,1,inv_app_appyear,likely_individual,20
2023,七台河,国网黑龙江省电力有限公司七台河供电公司,18,inv_app_appyear,firm,1
2023,七台河,黑龙江联顺生物科技有限公司,4,inv_app_appyear,firm,2
2023,七台河,大唐七台河发电有限责任公司,3,inv_app_appyear,firm,3
2023,七台河,黑龙江勃锦悍马农业装备制造有限公司,3,inv_app_appyear,firm,4
2023,七台河,黑龙江王田王生物农业科技有限公司,3,inv_app_appyear,firm,5
2023,七台河,七台河市成程非晶合金开发有限责任公司,2,inv_app_appyear,firm,6
2023,七台河,七台河市新富机电制造有限责任公司,2,inv_app_appyear,firm,7
2023,七台河,朱彩玉,2,inv_app_appyear,likely_individual,8
2023,七台河,韩峰,2,inv_app_appyear,likely_individual,9
2023,七台河,黑龙江垦滋农业装备制造有限公司,2,inv_app_appyear,firm,10
2023,七台河,黑龙江数字经济产业集团有限公司,2,inv_app_appyear,firm,11
2023,七台河,黑龙江泰平隆矿业科技有限公司,2,inv_app_appyear,firm,12
2023,七台河,七台河市万宝公园,1,inv_app_appyear,other_org_or_unclear,13
2023,七台河,七台河市人民医院,1,inv_app_appyear,hospital,14
2023,七台河,刘庆东,1,inv_app_appyear,likely_individual,15
2023,七台河,勃利县真行机械制造有限公司,1,inv_app_appyear,firm,16
2023,七台河,吴姗姗,1,inv_app_appyear,likely_individual,17
2023,七台河,季小飞,1,inv_app_appyear,likely_individual,18
2023,七台河,曹玉强,1,inv_app_appyear,likely_individual,19
2023,七台河,李允龙,1,inv_app_appyear,likely_individual,20
2008,万宁,中国热带农业科学院香料饮料研究所,3,inv_app_appyear,research_institute,1
2008,万宁,海南省兴隆华侨农场咖啡厂,2,inv_app_appyear,firm,2
2008,万宁,符施春,1,inv_app_appyear,likely_individual,3
2009,万宁,谭永福,2,inv_app_appyear,likely_individual,1
2009,万宁,中国医学科学院药用植物研究所海南分所,1,inv_app_appyear,research_institute,2
2009,万宁,中国热带农业科学院香料饮料研究所,1,inv_app_appyear,research_institute,3
2009,万宁,段世荣,1,inv_app_appyear,likely_individual,4
2010,万宁,中国医学科学院药用植物研究所海南分所,6,inv_app_appyear,research_institute,1
2010,万宁,中国热带农业科学院香料饮料研究所,3,inv_app_appyear,research_institute,2
2011,万宁,中国热带农业科学院香料饮料研究所,7,inv_app_appyear,research_institute,1
2011,万宁,中国医学科学院药用植物研究所海南分所,4,inv_app_appyear,research_institute,2
2011,万宁,杨子娇,1,inv_app_appyear,likely_individual,3
2011,万宁,谭永福,1,inv_app_appyear,likely_individual,4
2012,万宁,杨子娇,17,inv_app_appyear,likely_individual,1
2012,万宁,中国热带农业科学院香料饮料研究所,11,inv_app_appyear,research_institute,2
2012,万宁,中国医学科学院药用植物研究所海南分所,2,inv_app_appyear,research_institute,3
2012,万宁,周胜祥,1,inv_app_appyear,likely_individual,4
2012,万宁,温国辉,1,inv_app_appyear,likely_individual,5
2013,万宁,中国热带农业科学院香料饮料研究所,10,inv_app_appyear,research_institute,1
2013,万宁,中国医学科学院药用植物研究所海南分所,8,inv_app_appyear,research_institute,2
2013,万宁,许启太,2,inv_app_appyear,likely_individual,3
2013,万宁,刘琼刚,1,inv_app_appyear,likely_individual,4
2013,万宁,温国辉,1,inv_app_appyear,likely_individual,5
2014,万宁,中国热带农业科学院香料饮料研究所,11,inv_app_appyear,research_institute,1
2014,万宁,中国医学科学院药用植物研究所海南分所,7,inv_app_appyear,research_institute,2
2014,万宁,温国钜,2,inv_app_appyear,likely_individual,3
2014,万宁,许启太,1,inv_app_appyear,likely_individual,4
2014,万宁,陈镇江,1,inv_app_appyear,likely_individual,5
2015,万宁,中国医学科学院药用植物研究所海南分所,10,inv_app_appyear,research_institute,1
2015,万宁,中国热带农业科学院香料饮料研究所,10,inv_app_appyear,research_institute,2
2015,万宁,许启太,9,inv_app_appyear,likely_individual,3
2015,万宁,海南省万宁市人民医院,1,inv_app_appyear,hospital,4
2016,万宁,中国热带农业科学院香料饮料研究所,14,inv_app_appyear,research_institute,1
2016,万宁,中国医学科学院药用植物研究所海南分所,2,inv_app_appyear,research_institute,2
2016,万宁,海南省万宁市人民医院,2,inv_app_appyear,hospital,3
2016,万宁,翁选龙,1,inv_app_appyear,likely_individual,4
2016,万宁,谭永福,1,inv_app_appyear,likely_individual,5
2016,万宁,马志壮,1,inv_app_appyear,likely_individual,6
2017,万宁,中国热带农业科学院香料饮料研究所,6,inv_app_appyear,research_institute,1
2017,万宁,中国医学科学院药用植物研究所海南分所,3,inv_app_appyear,research_institute,2
2017,万宁,夏才清,1,inv_app_appyear,likely_individual,3
2017,万宁,海南电网有限责任公司万宁供电局,1,inv_app_appyear,firm,4
2018,万宁,中国热带农业科学院香料饮料研究所,6,inv_app_appyear,research_institute,1
2018,万宁,海南电网有限责任公司万宁供电局,4,inv_app_appyear,firm,2
2018,万宁,陈辉龙,2,inv_app_appyear,likely_individual,3
2018,万宁,中国医学科学院药用植物研究所海南分所,1,inv_app_appyear,research_institute,4
2018,万宁,姚兴南,1,inv_app_appyear,likely_individual,5
2018,万宁,李忠杰,1,inv_app_appyear,likely_individual,6
2018,万宁,李惠琼,1,inv_app_appyear,likely_individual,7
2018,万宁,海南亚马逊食品有限公司,1,inv_app_appyear,firm,8
2018,万宁,海南省万宁市人民医院,1,inv_app_appyear,hospital,9
2018,万宁,胡春立,1,inv_app_appyear,likely_individual,10
2018,万宁,陈镇江,1,inv_app_appyear,likely_individual,11
2018,万宁,黄胜勇,1,inv_app_appyear,likely_individual,12
2019,万宁,中国热带农业科学院香料饮料研究所,14,inv_app_appyear,research_institute,1
2019,万宁,海南口味王科技发展有限公司,6,inv_app_appyear,firm,2
2019,万宁,文一兵,5,inv_app_appyear,likely_individual,3
2019,万宁,李惠琼,2,inv_app_appyear,likely_individual,4
2019,万宁,李忠杰,1,inv_app_appyear,likely_individual,5
2019,万宁,海南亚马逊食品有限公司,1,inv_app_appyear,firm,6
2019,万宁,海南兴科热带作物工程技术有限公司,1,inv_app_appyear,firm,7
2019,万宁,海南省万宁市人民医院,1,inv_app_appyear,hospital,8
2020,万宁,中国热带农业科学院香料饮料研究所,19,inv_app_appyear,research_institute,1
2020,万宁,海南口味王科技发展有限公司,4,inv_app_appyear,firm,2
2020,万宁,万宁市港北富渔水产有限公司,2,inv_app_appyear,firm,3
2020,万宁,溪地阳光(海南)生物科技有限公司,2,inv_app_appyear,firm,4
2020,万宁,黄胜勇,2,inv_app_appyear,likely_individual,5
2020,万宁,万宁丰收诺丽生物科技有限公司,1,inv_app_appyear,firm,6
2020,万宁,周胜祥,1,inv_app_appyear,likely_individual,7
2020,万宁,文一兵,1,inv_app_appyear,likely_individual,8
2020,万宁,海南电网有限责任公司万宁供电局,1,inv_app_appyear,firm,9
2020,万宁,海南行行行农业科技有限公司,1,inv_app_appyear,firm,10
2020,万宁,许启太,1,inv_app_appyear,likely_individual,11
