city,year,applicant_norm,clean_type,patents,applicant,rank_city_year
锦州,2009,辽宁锦兴电力金具科技股份有限公司,firm,2,辽宁锦兴电力金具科技股份有限公司,17
锦州,2009,邱致忠,individual,2,邱致忠,18
锦州,2009,锦州七七七微电子有限责任公司,firm,2,锦州七七七微电子有限责任公司,19
锦州,2009,锦州凯美能源有限公司,firm,2,锦州凯美能源有限公司,20
锦州,2010,渤海大学,univ,10,渤海大学,1
锦州,2010,锦州惠发天合化学有限公司,firm,7,锦州惠发天合化学有限公司,2
锦州,2010,锦州钛业有限公司,firm,5,锦州钛业有限公司,3
锦州,2010,辽宁省电力有限公司锦州供电公司,firm,4,辽宁省电力有限公司锦州供电公司,4
锦州,2010,锦州海伯伦汽车电子有限公司,firm,4,锦州海伯伦汽车电子有限公司,5
锦州,2010,武海涛,individual,3,武海涛,6
锦州,2010,辽宁工业大学,univ,3,辽宁工业大学,7
锦州,2010,锦州市金属材料研究所,research,3,锦州市金属材料研究所,8
锦州,2010,中石油东北炼化工程有限公司锦州设计院,firm,2,中石油东北炼化工程有限公司锦州设计院,9
锦州,2010,锦州华昌光伏科技有限公司,firm,2,锦州华昌光伏科技有限公司,10
锦州,2010,锦州春光包装机械有限公司,firm,2,锦州春光包装机械有限公司,11
锦州,2010,锦州汉拿电机有限公司,firm,2,锦州汉拿电机有限公司,12
锦州,2010,锦州港船舶燃料供应有限责任公司,firm,2,锦州港船舶燃料供应有限责任公司,13
锦州,2010,锦州重型水泵有限公司,firm,2,锦州重型水泵有限公司,14
锦州,2010,丁隽,individual,1,丁隽,15
锦州,2010,东北电业管理局烟塔工程公司,firm,1,东北电业管理局烟塔工程公司,16
锦州,2010,中信锦州金属股份有限公司,firm,1,中信锦州金属股份有限公司,17
锦州,2010,中信锦州铁合金股份有限公司,firm,1,中信锦州铁合金股份有限公司,18
锦州,2010,刘浩,individual,1,刘浩,19
锦州,2010,北镇市青岩节能设备制造有限公司,firm,1,北镇市青岩节能设备制造有限公司,20
锦州,2011,渤海大学,univ,22,渤海大学,1
锦州,2011,锦州惠发天合化学有限公司,firm,10,锦州惠发天合化学有限公司,2
锦州,2011,中信锦州金属股份有限公司,firm,8,中信锦州金属股份有限公司,3
锦州,2011,辽宁省电力有限公司锦州供电公司,firm,7,辽宁省电力有限公司锦州供电公司,4
锦州,2011,圣戈班石英(锦州)有限公司,firm,5,圣戈班石英(锦州)有限公司,5
锦州,2011,辽宁医学院,univ,5,辽宁医学院,6
锦州,2011,辽宁工业大学,univ,5,辽宁工业大学,7
锦州,2011,辽宁尹家沟帮子熏鸡集团有限公司,firm,3,辽宁尹家沟帮子熏鸡集团有限公司,8
锦州,2011,锦州凯美能源有限公司,firm,3,锦州凯美能源有限公司,9
锦州,2011,锦州海伯伦汽车电子有限公司,firm,3,锦州海伯伦汽车电子有限公司,10
锦州,2011,陈明星,individual,3,陈明星,11
锦州,2011,刘忠德,individual,2,刘忠德,12
锦州,2011,刘文章,individual,2,刘文章,13
锦州,2011,宫鹤岩,individual,2,宫鹤岩,14
锦州,2011,张希纯,individual,2,张希纯,15
锦州,2011,王营杰,individual,2,王营杰,16
锦州,2011,锦州市海洋与渔业科学研究所,research,2,锦州市海洋与渔业科学研究所,17
锦州,2011,锦州市锦利电器有限公司,firm,2,锦州市锦利电器有限公司,18
锦州,2011,锦州开元石化有限责任公司,firm,2,锦州开元石化有限责任公司,19
锦州,2011,锦州汉拿电机有限公司,firm,2,锦州汉拿电机有限公司,20
锦州,2012,渤海大学,univ,39,渤海大学,1
锦州,2012,辽宁工业大学,univ,22,辽宁工业大学,2
锦州,2012,辽宁省电力有限公司锦州供电公司,firm,15,辽宁省电力有限公司锦州供电公司,3
锦州,2012,中信锦州金属股份有限公司,firm,9,中信锦州金属股份有限公司,4
锦州,2012,锦州汉拿电机有限公司,firm,7,锦州汉拿电机有限公司,5
锦州,2012,辽宁医学院,univ,5,辽宁医学院,6
锦州,2012,辽宁佳和谷物产业有限公司,firm,4,辽宁佳和谷物产业有限公司,7
锦州,2012,锦州新世纪石英(集团)有限公司,firm,4,锦州新世纪石英(集团)有限公司,8
锦州,2012,锦州海伯伦汽车电子有限公司,firm,4,锦州海伯伦汽车电子有限公司,9
锦州,2012,锦州钛业有限公司,firm,4,锦州钛业有限公司,10
锦州,2012,锦州锦恒汽车安全系统有限公司,firm,4,锦州锦恒汽车安全系统有限公司,11
锦州,2012,中国石油集团东北炼化工程有限公司锦州设计院,firm,3,中国石油集团东北炼化工程有限公司锦州设计院,12
锦州,2012,辽宁王牌速效制药有限公司,firm,3,辽宁王牌速效制药有限公司,13
锦州,2012,中石油东北炼化工程有限公司锦州设计院,firm,2,中石油东北炼化工程有限公司锦州设计院,14
锦州,2012,沈阳铁路局科学技术研究所,research,2,沈阳铁路局科学技术研究所,15
锦州,2012,辽宁凯为生物技术有限公司,firm,2,辽宁凯为生物技术有限公司,16
锦州,2012,锦州俏牌机械有限公司,firm,2,锦州俏牌机械有限公司,17
锦州,2012,锦州惠发天合化学有限公司,firm,2,锦州惠发天合化学有限公司,18
锦州,2012,锦州新桥高纯材料有限公司,firm,2,锦州新桥高纯材料有限公司,19
锦州,2012,锦州秀亭制管有限公司,firm,2,锦州秀亭制管有限公司,20
锦州,2013,渤海大学,univ,68,渤海大学,1
锦州,2013,辽宁工业大学,univ,34,辽宁工业大学,2
锦州,2013,锦州锦恒汽车安全系统有限公司,firm,14,锦州锦恒汽车安全系统有限公司,3
锦州,2013,辽宁医学院,univ,10,辽宁医学院,4
锦州,2013,辽宁石化职业技术学院,univ,6,辽宁石化职业技术学院,5
锦州,2013,锦州硕丰农药集团有限公司,firm,6,锦州硕丰农药集团有限公司,6
锦州,2013,锦州鹏翔电力轻钢设备有限公司,firm,6,锦州鹏翔电力轻钢设备有限公司,7
锦州,2013,王玉林,individual,5,王玉林,8
锦州,2013,凌海市百润通达饲料厂,firm,4,凌海市百润通达饲料厂,9
锦州,2013,北镇市山庆制药有限公司,firm,4,北镇市山庆制药有限公司,10
锦州,2013,辽宁南洋肥业有限公司,firm,4,辽宁南洋肥业有限公司,11
锦州,2013,辽宁瑞德橡塑科技有限公司,firm,4,辽宁瑞德橡塑科技有限公司,12
锦州,2013,中信锦州金属股份有限公司,firm,3,中信锦州金属股份有限公司,13
锦州,2013,吕宗树,individual,3,吕宗树,14
锦州,2013,吴宝海,individual,3,吴宝海,15
锦州,2013,周德兴,individual,3,周德兴,16
锦州,2013,锦州汉拿电机有限公司,firm,3,锦州汉拿电机有限公司,17
锦州,2013,锦州理想包装机械有限公司,firm,3,锦州理想包装机械有限公司,18
锦州,2013,锦州重型水泵有限公司,firm,3,锦州重型水泵有限公司,19
锦州,2013,锦州钛业有限公司,firm,3,锦州钛业有限公司,20
锦州,2014,渤海大学,univ,118,渤海大学,1
锦州,2014,辽宁工业大学,univ,38,辽宁工业大学,2
锦州,2014,辽宁石化职业技术学院,univ,22,辽宁石化职业技术学院,3
锦州,2014,国网辽宁省电力有限公司锦州供电公司,firm,17,国网辽宁省电力有限公司锦州供电公司,4
锦州,2014,中信锦州金属股份有限公司,firm,8,中信锦州金属股份有限公司,5
锦州,2014,锦州市好为尔保温材料有限公司,firm,8,锦州市好为尔保温材料有限公司,6
锦州,2014,王玉林,individual,7,王玉林,7
锦州,2014,辽宁医学院,univ,7,辽宁医学院,8
锦州,2014,武海涛,individual,6,武海涛,9
锦州,2014,锦州东方雨虹建筑材料有限责任公司,firm,6,锦州东方雨虹建筑材料有限责任公司,10
锦州,2014,姜辉,individual,5,姜辉,11
锦州,2014,张学举,other,5,张学举,12
锦州,2014,辽宁沟帮子云杉熏鸡有限公司,firm,5,辽宁沟帮子云杉熏鸡有限公司,13
锦州,2014,锦州博泽医药科技开发有限公司,firm,5,锦州博泽医药科技开发有限公司,14
锦州,2014,锦州新锦化机械制造有限公司,firm,5,锦州新锦化机械制造有限公司,15
锦州,2014,孙华明,individual,4,孙华明,16
锦州,2014,庞强,individual,4,庞强,17
锦州,2014,辽宁南洋肥业有限公司,firm,4,辽宁南洋肥业有限公司,18
锦州,2014,锦州奥鸿药业有限责任公司,firm,4,锦州奥鸿药业有限责任公司,19
锦州,2014,锦州康泰润滑油添加剂股份有限公司,firm,4,锦州康泰润滑油添加剂股份有限公司,20
锦州,2015,渤海大学,univ,139,渤海大学,1
锦州,2015,辽宁工业大学,univ,62,辽宁工业大学,2
锦州,2015,国网辽宁省电力有限公司锦州供电公司,firm,22,国网辽宁省电力有限公司锦州供电公司,3
锦州,2015,辽宁石化职业技术学院,univ,13,辽宁石化职业技术学院,4
锦州,2015,锦州汉拿电机有限公司,firm,10,锦州汉拿电机有限公司,5
锦州,2015,冷光君,individual,6,冷光君,6
锦州,2015,赛青松,individual,4,赛青松,7
锦州,2015,辽宁医学院,univ,4,辽宁医学院,8
锦州,2015,辽宁森林木纸业有限公司,firm,4,辽宁森林木纸业有限公司,9
锦州,2015,锦州奥鸿药业有限责任公司,firm,4,锦州奥鸿药业有限责任公司,10
锦州,2015,中信锦州金属股份有限公司,firm,3,中信锦州金属股份有限公司,11
