applicant_norm,clean_type,applicant,top_patents,top_rows,city_count,max_city_year_patents
林勇,individual,林勇,118,1,1,118
南昌大学第二附属医院,hospital,南昌大学第二附属医院,118,2,1,69
王光树,individual,王光树,118,7,1,47
杨成胜,individual,杨成胜,118,4,1,35
江南大学附属医院,hospital,江南大学附属医院,117,1,1,117
王跃进,individual,王跃进,117,1,1,117
王伟,individual,王伟,117,15,10,45
驻马店市中心医院,hospital,驻马店市中心医院,116,3,1,77
杨天梅,individual,杨天梅,116,2,1,66
南华大学附属第一医院,hospital,南华大学附属第一医院,116,3,1,55
大新县科学技术情报研究所,research,大新县科学技术情报研究所,116,4,1,52
王涛,individual,王涛,116,9,8,46
马千里,individual,马千里,116,5,1,43
敦煌研究院,research,敦煌研究院,116,13,2,23
孟庆牛,individual,孟庆牛,115,2,1,75
李贵祥,individual,李贵祥,115,3,1,53
周童,individual,周童,115,4,1,42
连云港市第一人民医院,hospital,连云港市第一人民医院,114,4,1,32
河南大学淮河医院,hospital,河南大学淮河医院,114,6,1,30
崔莹,individual,崔莹,113,1,1,113
陈永,individual,陈永,113,1,1,113
袁海忠,individual,袁海忠,113,2,1,75
郭亚娟,individual,郭亚娟,113,2,1,68
何小平,individual,何小平,113,3,2,65
刘黎明,individual,刘黎明,113,5,2,52
浙江省淡水水产研究所,research,浙江省淡水水产研究所,113,4,1,44
朱永彪,individual,朱永彪,113,5,1,36
魏伯卿,individual,魏伯卿,113,5,1,32
朱陈伟,individual,朱陈伟,112,1,1,112
张静,individual,张静,112,6,4,91
翁秋梅,individual,翁秋梅,112,2,1,65
中国人民解放军63660部队,other,中国人民解放军63660部队,112,3,2,53
卞佳林,individual,卞佳林,112,3,2,51
李明科,individual,李明科,112,3,1,44
袁俊海,individual,袁俊海,111,1,1,111
邬金飞,individual,邬金飞,111,1,1,111
陈伟群,individual,陈伟群,111,1,1,111
武永福,individual,武永福,111,3,1,61
南通市肿瘤医院,hospital,南通市肿瘤医院,111,2,1,59
宋姝娴,individual,宋姝娴,110,2,1,89
茹朝贵,individual,茹朝贵,110,2,1,58
蒋华,individual,蒋华,110,4,2,55
吴澄彬,individual,吴澄彬,110,3,1,44
