symbol,year,patent_count_dedup,invention_count_dedup,strict_ai_title_all_count,ai_compute_title_all_count,strict_ai_title_invention_count,ai_compute_title_invention_count
000985,2010.0,2,2,0,0,0,0
000985,2013.0,1,1,0,0,0,0
000985,2014.0,1,1,0,0,0,0
000985,2018.0,1,1,0,0,0,0
000985,2022.0,1,1,0,0,0,0
000985,2023.0,2,2,0,0,0,0
000989,2008.0,2,2,0,0,0,0
000989,2011.0,1,1,0,0,0,0
000989,2012.0,2,1,0,0,0,0
000989,2014.0,1,1,0,0,0,0
000989,2017.0,1,1,0,0,0,0
000990,2013.0,1,1,0,0,0,0
000997,2014.0,1,1,0,0,0,0
000998,2022.0,2,0,0,0,0,0
001201,2014.0,1,1,0,0,0,0
001201,2022.0,1,1,0,0,0,0
001210,2021.0,2,2,0,0,0,0
001210,2022.0,2,0,0,1,0,0
001217,2016.0,2,0,0,0,0,0
001217,2018.0,4,1,0,0,0,0
001217,2019.0,15,0,0,0,0,0
001217,2020.0,5,2,0,0,0,0
001217,2021.0,5,2,0,0,0,0
001217,2022.0,4,1,0,0,0,0
001217,2023.0,9,2,0,0,0,0
001217,2024.0,2,0,0,0,0,0
001225,2023.0,14,3,0,0,0,0
001225,2024.0,23,4,0,0,0,0
001231,2013.0,1,1,0,0,0,0
001231,2014.0,5,5,0,0,0,0
001259,2012.0,1,0,0,0,0,0
001259,2014.0,1,1,0,0,0,0
001259,2017.0,1,0,0,0,0,0
001259,2019.0,3,0,0,0,0,0
001259,2021.0,1,0,0,0,0,0
001260,2019.0,4,0,0,0,0,0
001260,2021.0,2,2,0,0,0,0
001278,2023.0,1,1,0,0,0,0
001278,2024.0,1,1,0,0,0,0
001283,2018.0,2,2,0,0,0,0
001283,2019.0,3,3,0,0,0,0
001296,2004.0,1,1,0,0,0,0
001296,2013.0,1,1,0,0,0,0
001299,2021.0,2,0,0,0,0,0
001299,2022.0,1,0,0,0,0,0
001299,2023.0,2,0,0,0,0,0
001299,2024.0,10,0,0,0,0,0
001309,2020.0,5,5,0,1,0,1
001309,2022.0,1,1,0,0,0,0
001309,2024.0,3,3,0,0,0,0
001314,2015.0,2,0,0,0,0,0
001314,2016.0,1,0,0,0,0,0
001328,2016.0,1,1,0,0,0,0
001328,2018.0,1,1,0,0,0,0
001358,2013.0,1,1,0,0,0,0
001358,2016.0,1,1,0,0,0,0
001358,2018.0,1,1,0,0,0,0
001358,2019.0,4,1,0,0,0,0
001358,2022.0,1,1,0,0,0,0
001358,2024.0,2,2,0,0,0,0
001360,2013.0,1,0,0,0,0,0
001360,2014.0,3,0,0,0,0,0
001360,2016.0,1,0,0,0,0,0
001360,2019.0,3,0,0,0,0,0
001360,2020.0,1,0,0,0,0,0
001360,2021.0,1,0,0,0,0,0
001366,2021.0,3,3,0,0,0,0
